Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
1734,025550,KR7025550005,한국선재,KOSDAQ,중견기업부,2700,1,95,3.65,2650,2730,2635,152487,408757147,68887810800,25514004,KSQ,중견기업부,1차 철강 제조업
1735,153710,KR7153710009,옵티팜,KOSDAQ,기술성장기업부,4695,1,115,2.51,4785,4785,4555,2011,9297747,68875452810,14669958,KSQ,기술성장기업부,의료용품 및 기타 의약 관련제품 제조업
1736,013360,KR7013360003,일성건설,KOSPI,,1273,1,71,5.91,1273,1409,1241,408742,537160221,68773672240,54024880,STK,,토목 건설업
1737,049480,KR7049480007,오픈베이스,KOSDAQ,우량기업부,2180,1,50,2.35,2145,2195,2120,165268,355169131,68500794940,31422383,KSQ,우량기업부,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1738,155660,KR7155660004,DSR,KOSPI,,4280,1,120,2.88,4195,4280,4170,21407,90540545,68480000000,16000000,STK,,1차 비철금속 제조업
1739,204840,KR7204840003,지엘팜텍,KOSDAQ,기술성장기업부,883,2,-7,-0.79,890,934,872,44961,39851963,68475772298,77549006,KSQ,기술성장기업부,생활용품 도매업
1740,338100,KR7338100001,NH프라임리츠,KOSPI,,3660,1,25,0.69,3640,3735,3610,28625,104283080,68295600000,18660000,STK,,부동산 임대 및 공급업
1741,315640,KR7315640003,딥노이드,KOSDAQ,기술성장기업부,2325,1,105,4.73,2240,2380,2240,113983,265567050,68290439400,29372232,KSQ,기술성장기업부,소프트웨어 개발 및 공급업
1742,068290,KR7068290006,삼성출판사,KOSPI,,6800,1,180,2.72,6620,6950,6620,18019,122556840,68000000000,10000000,STK,,"서적, 잡지 및 기타 인쇄물 출판업"
1743,002795,KR7002791002,아모레퍼시픽홀딩스우,KOSPI,,10650,2,-30,-0.28,10720,10840,10520,11391,121424830,67959481800,6381172,STK,,
1744,003310,KR7003310000,대주산업,KOSDAQ,우량기업부,1919,1,49,2.62,1875,1920,1866,235412,446375950,67917919650,35392350,KSQ,우량기업부,동물용 사료 및 조제식품 제조업
1745,013700,KR7013700000,까뮤이앤씨,KOSPI,,1133,1,12,1.07,1178,1181,1120,44025,50505258,67697690390,59750830,STK,,건물 건설업
1746,137950,KR7137950002,제이씨케미칼,KOSDAQ,우량기업부,3040,2,-30,-0.98,3070,3075,2975,60147,181568680,67694154560,22267814,KSQ,우량기업부,기타 화학제품 제조업
1747,060570,KR7060570009,드림어스컴퍼니,KOSDAQ,중견기업부,913,1,79,9.47,815,926,792,159739,141263561,67654736149,74101573,KSQ,중견기업부,영상·오디오물 제공 서비스업
1748,000220,KR7000220004,유유제약,KOSPI,,3970,1,115,2.98,3860,3990,3860,77085,303712710,67618433470,17032351,STK,,의약품 제조업
1749,109860,KR7109860007,동일금속,KOSDAQ,우량기업부,7430,1,50,0.68,7390,7430,7340,1013,7479440,67613000000,9100000,KSQ,우량기업부,금속 주조업
1750,347000,KR7347000002,센코,KOSDAQ,기술성장기업부,1786,1,59,3.42,1770,1820,1736,23747,42051441,67530170956,37810846,KSQ,기술성장기업부,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1751,332370,KR7332370006,아이디피,KOSDAQ,벤처기업부,5080,3,0,0.0,5080,5110,5080,7088,36075620,67430528080,13273726,KSQ,벤처기업부,컴퓨터 및 주변장치 제조업
1752,003925,KR7003921004,남양유업우,KOSPI,,33700,2,-50,-0.15,33750,35700,33700,1639,55836600,67400000000,2000000,STK,,
1753,214260,KR7214260002,라파스,KOSDAQ,기술성장기업부,7550,1,550,7.86,7000,7560,7000,20550,151458690,67364595650,8922463,KSQ,기술성장기업부,기타 화학제품 제조업
1754,251630,KR7251630000,브이원텍,KOSDAQ,벤처기업부,4220,1,190,4.71,4130,4240,4040,47888,199352435,67278978920,15942886,KSQ,벤처기업부,특수 목적용 기계 제조업
